1986,12431.9428,3554.073456,2112.764727,3161.24338,12431.9428,3554.073456,2112.764727,3161.24338,12431.9428,3554.073456,2112.764727,3161.24338,12431.9428,3554.073456,2112.764727,3161.24338
1987,24039.68309,5558.30357,3136.923448,6063.47907,24039.68309,5558.30357,3136.923448,6063.47907,24039.68309,5558.30357,3136.923448,6063.47907,24039.68309,5558.30357,3136.923448,6063.47907
1988,9829.134804,2628.577634,1623.970287,2236.638135,9829.134804,2628.577634,1623.970287,2236.638135,9829.134804,2628.577634,1623.970287,2236.638135,9829.134804,2628.577634,1623.970287,2236.638135
1989,14260.5833,3343.063558,2510.298397,3200.246159,14260.5833,3343.063558,2510.298397,3200.246159,14260.5833,3343.063558,2510.298397,3200.246159,14260.5833,3343.063558,2510.298397,3200.246159
1990,23717.73805,4835.692397,2639.705112,4427.78622,23717.73805,4835.692397,2639.705112,4427.78622,23717.73805,4835.692397,2639.705112,4427.78622,23717.73805,4835.692397,2639.705112,4427.78622
1991,30215.33255,6114.491388,3101.856362,5859.645188,30215.33255,6114.491388,3101.856362,5859.645188,30215.33255,6114.491388,3101.856362,5859.645188,30215.33255,6114.491388,3101.856362,5859.645188
1992,14866.82789,4654.864657,2196.89836,3441.989782,14866.82789,4654.864657,2196.89836,3441.989782,14866.82789,4654.864657,2196.89836,3441.989782,14866.82789,4654.864657,2196.89836,3441.989782
1993,61792.25651,13088.84808,6188.6382,13837.87539,61792.25651,13088.84808,6188.6382,13837.87539,61792.25651,13088.84808,6188.6382,13837.87539,61792.25651,13088.84808,6188.6382,13837.87539
1994,20577.08264,5648.217752,2720.797413,5698.571283,20577.08264,5648.217752,2720.797413,5698.571283,20577.08264,5648.217752,2720.797413,5698.571283,20577.08264,5648.217752,2720.797413,5698.571283
1995,22319.24354,5284.442108,2893.697948,6332.820162,22319.24354,5284.442108,2893.697948,6332.820162,22319.24354,5284.442108,2893.697948,6332.820162,22319.24354,5284.442108,2893.697948,6332.820162
1996,57580.75931,10267.81349,5022.630867,13822.91534,57580.75931,10267.81349,5022.630867,13822.91534,57580.75931,10267.81349,5022.630867,13822.91534,57580.75931,10267.81349,5022.630867,13822.91534
1997,14796.93245,3274.128069,2019.160202,4238.512825,14796.93245,3274.128069,2019.160202,4238.512825,14796.93245,3274.128069,2019.160202,4238.512825,14796.93245,3274.128069,2019.160202,4238.512825
1998,46754.5735,10027.24869,5108.927869,11417.54226,46754.5735,10027.24869,5108.927869,11417.54226,46754.5735,10027.24869,5108.927869,11417.54226,46754.5735,10027.24869,5108.927869,11417.54226
1999,18058.48995,4222.875069,2306.360131,4800.362931,18058.48995,4222.875069,2306.360131,4800.362931,18058.48995,4222.875069,2306.360131,4800.362931,18058.48995,4222.875069,2306.360131,4800.362931
2000,87199.86878,16705.61921,8431.136986,21382.76342,87199.86878,16705.61921,8431.136986,21382.76342,87199.86878,16705.61921,8431.136986,21382.76342,87199.86878,16705.61921,8431.136986,21382.76342
2001,23587.36918,5778.276316,4061.711287,9050.863536,23587.36918,5778.276316,4061.711287,9050.863536,23587.36918,5778.276316,4061.711287,9050.863536,23587.36918,5778.276316,4061.711287,9050.863536
2002,12199.32727,2760.79326,1386.423475,3353.528464,12199.32727,2760.79326,1386.423475,3353.528464,12199.32727,2760.79326,1386.423475,3353.528464,12199.32727,2760.79326,1386.423475,3353.528464
2003,20973.60432,5793.378906,2345.25348,4664.77453,20973.60432,5793.378906,2345.25348,4664.77453,20973.60432,5793.378906,2345.25348,4664.77453,20973.60432,5793.378906,2345.25348,4664.77453
2004,35386.76004,8782.174608,3658.437118,8436.583253,35386.76004,8782.174608,3658.437118,8436.583253,35386.76004,8782.174608,3658.437118,8436.583253,35386.76004,8782.174608,3658.437118,8436.583253
2005,14976.39878,2966.527502,1695.604311,4169.854538,14976.39878,2966.527502,1695.604311,4169.854538,14976.39878,2966.527502,1695.604311,4169.854538,14976.39878,2966.527502,1695.604311,4169.854538
2006,41522.45151,7750.827887,3900.630129,11168.53558,41522.45151,7750.827887,3900.630129,11168.53558,41522.45151,7750.827887,3900.630129,11168.53558,41522.45151,7750.827887,3900.630129,11168.53558
2007,52567.74314,10773.57809,4329.08674,11898.1222,52567.74314,10773.57809,4329.08674,11898.1222,52567.74314,10773.57809,4329.08674,11898.1222,52567.74314,10773.57809,4329.08674,11898.1222
2008,73364.70391,12350.60798,5789.99667,15077.09481,73364.70391,12350.60798,5789.99667,15077.09481,73364.70391,12350.60798,5789.99667,15077.09481,73364.70391,12350.60798,5789.99667,15077.09481
2009,24845.42284,8793.824638,3424.77428,8399.168627,24845.42284,8793.824638,3424.77428,8399.168627,24845.42284,8793.824638,3424.77428,8399.168627,24845.42284,8793.824638,3424.77428,8399.168627
2010,54283.99218,11812.4124,3863.873975,10566.85361,54283.99218,11812.4124,3863.873975,10566.85361,54283.99218,11812.4124,3863.873975,10566.85361,54283.99218,11812.4124,3863.873975,10566.85361
2011,19916.41132,5691.000751,2199.320325,5024.931103,19916.41132,5691.000751,2199.320325,5024.931103,19916.41132,5691.000751,2199.320325,5024.931103,19916.41132,5691.000751,2199.320325,5024.931103
2012,11172.44257,3820.44638,1417.992588,3461.968784,11172.44257,3820.44638,1417.992588,3461.968784,11172.44257,3820.44638,1417.992588,3461.968784,11172.44257,3820.44638,1417.992588,3461.968784
2013,50578.71401,12803.81972,5253.664234,13051.93929,50578.71401,12803.81972,5253.664234,13051.93929,50578.71401,12803.81972,5253.664234,13051.93929,50578.71401,12803.81972,5253.664234,13051.93929
